id,formula,avg_Z,avg_chi,avg_mass,std_atomic_radius,n_elements,contains_Cu,contains_W,frac_W,frac_Cu,frac_Fe,frac_Cr,frac_Mo,frac_Ta,frac_Nb,frac_V,frac_Ti,frac_Al,frac_Si,frac_Mn
22,Cu0.553-Mn0.447,27.212000000000003,1.74355,59.69824411500001,2.5,2,1,0,0.0,0.553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447
23,Al0.754-W0.198-Si0.048,25.126,1.7724199999999999,58.0925041044,10.077477638553983,3,0,1,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.754,0.048,0.0
24,Cu0.21-Ti0.048-Cr0.094-Mo0.648,36.618,2.02864,82.6990294,4.14578098794425,4,1,0,0.0,0.21,0.0,0.094,0.648,0.0,0.0,0.0,0.048,0.0,0.0,0.0
25,Ta0.407-Si0.543-W0.049,40.97997997997999,1.7595995995995999,98.00237603603603,14.613540144521982,3,0,1,0.049049049049049054,0.0,0.0,0.0,0.0,0.4074074074074074,0.0,0.0,0.0,0.0,0.5435435435435436,0.0
26,Al0.477-Cu0.523,21.368,1.76167,46.1047519122,7.0,2,1,0,0.0,0.523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477,0.0,0.0
27,Al0.896-Mo0.104,16.016,1.6672,34.1532185856,10.5,2,0,0,0.0,0.0,0.0,0.0,0.104,0.0,0.0,0.0,0.0,0.896,0.0,0.0
28,Cu0.93-W0.07,32.150000000000006,1.9322,71.96658000000001,1.5,2,1,1,0.07,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Si0.09-Nb0.91,38.57,1.6270000000000002,87.0725008,17.5,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.09,0.0
30,Mo0.391-Nb0.334-Ta0.275,50.191,1.7914600000000003,118.30393792000001,3.299831645537222,3,0,0,0.0,0.0,0.0,0.0,0.391,0.275,0.334,0.0,0.0,0.0,0.0,0.0
31,Nb0.864-Fe0.136,38.96,1.63128,87.86603232,10.0,2,0,0,0.0,0.0,0.136,0.0,0.0,0.0,0.864,0.0,0.0,0.0,0.0,0.0
32,Cr0.54-Ta0.46,46.54,1.5864,111.3139188,9.0,2,0,0,0.0,0.0,0.0,0.54,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0
33,Si0.916-Cu0.084,15.26,1.9,31.064182,10.5,2,1,0,0.0,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.916,0.0
34,Nb0.062-Si0.384-Mn0.272-Cr0.282,21.485999999999997,1.7185199999999998,46.151075999999996,12.389511693363866,4,0,0,0.0,0.0,0.0,0.282,0.0,0.0,0.062,0.0,0.0,0.0,0.384,0.272
35,W0.078-Mn0.05-Cr0.873,27.94605394605395,1.7090509490509493,62.41660094905096,3.559026084010437,3,0,1,0.07792207792207793,0.0,0.0,0.8721278721278722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04995004995004996
36,Mn0.459-Ta0.541,50.968,1.5229500000000002,123.10936573500001,9.5,2,0,0,0.0,0.0,0.0,0.0,0.0,0.541,0.0,0.0,0.0,0.0,0.0,0.459
37,Mn0.127-Cr0.16-Cu0.049-Al0.664,17.067999999999998,1.6245900000000002,36.3260033454,5.11737237261468,4,1,0,0.0,0.049,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.127
38,W0.292-Ti0.708,37.184,1.77944,87.57111599999999,0.5,2,0,1,0.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.708,0.0,0.0,0.0
39,Al0.07-W0.594-V0.337,52.56443556443556,2.061788211788212,128.12882437762238,6.97614984548545,3,0,1,0.5934065934065934,0.0,0.0,0.0,0.0,0.0,0.0,0.3366633366633367,0.0,0.06993006993006995,0.0,0.0
40,Ta0.048-Cu0.338-Cr0.613,28.046046046046044,1.7335135135135133,62.099755295295296,7.71722460186015,3,1,0,0.0,0.3383383383383384,0.0,0.6136136136136136,0.0,0.04804804804804805,0.0,0.0,0.0,0.0,0.0,0.0
41,Ta0.509-W0.491,73.491,1.92226,182.36791091999999,5.5,2,0,1,0.491,0.0,0.0,0.0,0.0,0.509,0.0,0.0,0.0,0.0,0.0,0.0
42,Mo0.375-Cu0.625,33.875,1.9975,75.69375,3.5,2,1,0,0.0,0.625,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,V0.931-Fe0.069,23.207,1.6438000000000001,51.279841499999996,0.5,2,0,0,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.931,0.0,0.0,0.0,0.0
44,Mo0.049-Mn0.331-Si0.62,19.012999999999998,1.7968899999999999,40.298562895,11.469767022723502,3,0,0,0.0,0.0,0.0,0.0,0.049,0.0,0.0,0.0,0.0,0.0,0.62,0.331
45,Nb0.049-Ta0.596-Ti0.268-Fe0.086,53.7027027027027,1.544044044044044,130.15853363363362,8.2915619758885,4,0,0,0.0,0.0,0.08608608608608607,0.0,0.0,0.5965965965965966,0.049049049049049054,0.0,0.2682682682682683,0.0,0.0,0.0
46,Ta0.316-V0.684,38.800000000000004,1.5889199999999999,92.02351608000001,10.5,2,0,0,0.0,0.0,0.0,0.0,0.0,0.316,0.0,0.684,0.0,0.0,0.0,0.0
47,Al0.11-Nb0.304-Fe0.586,29.13,1.7358799999999999,63.936678766,11.775681155103795,3,0,0,0.0,0.0,0.586,0.0,0.0,0.0,0.304,0.0,0.0,0.11,0.0,0.0
48,Al0.173-Cu0.049-Ta0.778,60.464000000000006,1.53863,148.55901081780002,11.430952132988164,3,1,0,0.0,0.049,0.0,0.0,0.0,0.778,0.0,0.0,0.0,0.173,0.0,0.0
49,Nb0.808-Si0.192,35.816,1.6576000000000002,80.46077104,17.5,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.808,0.0,0.0,0.0,0.192,0.0
50,W0.262-Cu0.115-V0.623,37.05200000000001,1.8523100000000001,87.2104245,4.189935029992178,3,1,1,0.262,0.115,0.0,0.0,0.0,0.0,0.0,0.623,0.0,0.0,0.0,0.0
51,Mn0.274-Nb0.388-Ti0.288-V0.049,30.25125125125125,1.5704604604604606,67.44997924924925,8.32165848854662,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3883883883883884,0.049049049049049054,0.2882882882882883,0.0,0.0,0.2742742742742743
52,Ti0.601-Cu0.399,24.793,1.68364,54.122921,2.0,2,1,0,0.0,0.399,0.0,0.0,0.0,0.0,0.0,0.0,0.601,0.0,0.0,0.0
53,Cr0.143-Ti0.402-Ta0.394-Mn0.061,42.562999999999995,1.5420099999999999,101.322661765,7.628073151196179,4,0,0,0.0,0.0,0.0,0.143,0.0,0.394,0.0,0.0,0.402,0.0,0.0,0.061
54,Ta0.334-V0.251-Mn0.326-Cu0.089,40.886,1.5845300000000002,96.78830509000001,8.200609733428363,4,1,0,0.0,0.089,0.0,0.0,0.0,0.334,0.0,0.251,0.0,0.0,0.0,0.326
55,W0.15-V0.716-Si0.134,29.444,1.77568,67.81357100000001,9.843215373488935,3,0,1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.716,0.0,0.0,0.134,0.0
56,Mn0.83-Fe0.17,25.17,1.5976,55.09222735,0.5,2,0,0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83
57,W0.279-Al0.122-Mo0.599,47.39,2.1487000000000003,112.0511677092,9.104333522498441,3,0,1,0.279,0.0,0.0,0.0,0.599,0.0,0.0,0.0,0.0,0.122,0.0,0.0
58,Cu0.223-Mo0.777,39.101,2.1020200000000004,88.716138,3.5,2,1,0,0.0,0.223,0.0,0.0,0.777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Ta0.109-Mn0.567-Fe0.324,30.555999999999997,1.6352699999999998,68.966970435,9.201449161228174,3,0,0,0.0,0.0,0.324,0.0,0.0,0.109,0.0,0.0,0.0,0.0,0.0,0.567
60,Al0.398-Mn0.049-Ti0.553,18.565,1.5683500000000001,39.9010675678,7.3484692283495345,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.553,0.398,0.0,0.049
61,Fe0.635-Ta0.365,43.155,1.7095500000000001,101.5075512,10.0,2,0,0,0.0,0.0,0.635,0.0,0.0,0.365,0.0,0.0,0.0,0.0,0.0,0.0
62,Nb0.111-Fe0.065-Mn0.509-Mo0.314,32.18618618618619,1.765505505505506,72.10326134634636,8.381527307120106,4,0,0,0.0,0.0,0.06506506506506507,0.0,0.31431431431431434,0.0,0.11111111111111112,0.0,0.0,0.0,0.0,0.5095095095095096
63,Mn0.417-W0.437-Cu0.049-Mo0.097,48.257999999999996,1.9802899999999999,115.667178765,4.380353866983808,4,1,1,0.437,0.049,0.0,0.0,0.097,0.0,0.0,0.0,0.0,0.0,0.0,0.417
64,Al0.256-V0.694-Ta0.049,22.88988988988989,1.6184984984984985,51.1782993009009,11.897712198383164,3,0,0,0.0,0.0,0.0,0.0,0.0,0.049049049049049054,0.0,0.6946946946946947,0.0,0.25625625625625625,0.0,0.0
65,Nb0.089-Cu0.911,30.068,1.8733,66.15907382,7.0,2,1,0,0.0,0.911,0.0,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.0
66,Cr0.139-Mo0.12-Cu0.062-Ti0.679,25.112000000000002,1.6534,55.1818029,4.14578098794425,4,1,0,0.0,0.062,0.0,0.139,0.12,0.0,0.0,0.0,0.679,0.0,0.0,0.0
67,Fe0.473-V0.079-Si0.159-Mn0.29,23.56743256743257,1.7442157842157844,50.78590514485515,6.53356717268599,4,0,0,0.0,0.0,0.47252747252747257,0.0,0.0,0.0,0.0,0.07892107892107893,0.0,0.0,0.15884115884115887,0.2897102897102897
68,Ta0.594-V0.048-Nb0.119-Mo0.239,59.382999999999996,1.67588,143.91375194,8.573214099741124,4,0,0,0.0,0.0,0.0,0.0,0.239,0.594,0.119,0.048,0.0,0.0,0.0,0.0
69,Ti0.838-V0.114-Cu0.048,22.45,1.56754,48.97008499999999,4.546060565661952,3,1,0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.114,0.838,0.0,0.0,0.0
70,Al0.568-Fe0.38-W0.051,21.05905905905906,1.731971971971972,45.96842234714714,6.944222218666553,3,0,1,0.051051051051051045,0.0,0.3803803803803804,0.0,0.0,0.0,0.0,0.0,0.0,0.5685685685685685,0.0,0.0
71,Al0.476-W0.524,44.964000000000006,2.003,109.1753723736,8.5,2,0,1,0.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.476,0.0,0.0
72,Mo0.539-Ti0.461,32.78,1.8741800000000002,73.778347,1.5,2,0,0,0.0,0.0,0.0,0.0,0.539,0.0,0.0,0.0,0.461,0.0,0.0,0.0
73,Cr0.371-W0.05-Si0.13-Nb0.449,32.833,1.69926,73.84863272000001,12.708265027138834,4,0,1,0.05,0.0,0.0,0.371,0.0,0.0,0.449,0.0,0.0,0.0,0.13,0.0
74,Nb0.108-Mo0.095-W0.122-Si0.675,26.896,1.94842,60.53438154,13.160072188251856,4,0,1,0.122,0.0,0.0,0.0,0.095,0.0,0.108,0.0,0.0,0.0,0.675,0.0
75,Ta0.346-Mo0.654,52.726,1.93164,125.35272648,3.5,2,0,0,0.0,0.0,0.0,0.0,0.654,0.346,0.0,0.0,0.0,0.0,0.0,0.0
76,Ta0.312-W0.688,73.688,2.0916799999999998,182.93765856,5.5,2,0,1,0.688,0.0,0.0,0.0,0.0,0.312,0.0,0.0,0.0,0.0,0.0,0.0
77,Nb0.049-Si0.951,15.323,1.8852999999999998,31.26172312,17.5,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.0,0.0,0.0,0.951,0.0
78,Fe0.105-Al0.601-V0.294,17.305,1.6389799999999999,37.056430698599996,3.559026084010437,3,0,0,0.0,0.0,0.105,0.0,0.0,0.0,0.0,0.294,0.0,0.601,0.0,0.0
79,Al0.05-V0.12-Ti0.075-Cu0.755,26.955,1.8260999999999998,59.02931193,6.869315832017043,4,1,0,0.0,0.755,0.0,0.0,0.0,0.0,0.0,0.12,0.075,0.05,0.0,0.0
80,Al0.796-Nb0.204,18.712,1.6079600000000003,40.4302062456,14.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.204,0.0,0.0,0.796,0.0,0.0
81,Cr0.797-Ta0.203,33.947,1.62752,78.17331134,9.0,2,0,0,0.0,0.0,0.0,0.797,0.0,0.203,0.0,0.0,0.0,0.0,0.0,0.0
82,Mn0.287-Ti0.18-Fe0.43-Cr0.103,24.787,1.67993,53.75222721499999,3.960744879438715,4,0,0,0.0,0.0,0.43,0.103,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.287
83,Mn0.459-Ta0.05-Cr0.442-Si0.049,26.419,1.61327,58.622422355000005,12.389511693363866,4,0,0,0.0,0.0,0.0,0.442,0.0,0.05,0.0,0.0,0.0,0.0,0.049,0.459
84,Ti0.277-Nb0.723,35.737,1.58338,80.43047173999999,5.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.723,0.0,0.277,0.0,0.0,0.0
85,Nb0.919-Cr0.081,39.623000000000005,1.6048600000000002,89.59264732,9.0,2,0,0,0.0,0.0,0.0,0.081,0.0,0.0,0.919,0.0,0.0,0.0,0.0,0.0
86,Si0.273-W0.221-Al0.321-V0.185,28.603999999999996,1.85862,66.3812328906,8.870597499605086,4,0,1,0.221,0.0,0.0,0.0,0.0,0.0,0.0,0.185,0.0,0.321,0.273,0.0
87,W0.093-Mn0.436-V0.471,28.615000000000002,1.6630099999999999,65.04355412000001,4.320493798938574,3,0,1,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.471,0.0,0.0,0.0,0.436
88,Ta0.343-Ti0.657,39.493,1.5262800000000003,93.51374184,5.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.343,0.0,0.0,0.657,0.0,0.0,0.0
89,Ti0.145-W0.855,66.46,2.2411,164.123915,0.5,2,0,1,0.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145,0.0,0.0,0.0
90,Al0.867-W0.133,21.113,1.70975,47.8437139662,8.5,2,0,1,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.867,0.0,0.0
91,Si0.894-Cr0.106,15.06,1.8745599999999998,30.620023599999996,8.5,2,0,0,0.0,0.0,0.0,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.894,0.0
92,Nb0.122-Mo0.141-Ta0.632-Si0.105,58.53,1.64726,142.17015602,14.430869689661812,4,0,0,0.0,0.0,0.0,0.0,0.141,0.632,0.122,0.0,0.0,0.0,0.105,0.0
93,Mo0.142-Cu0.551-Mn0.055-Al0.252,26.594,1.84459,58.4582662022,7.648529270389178,4,1,0,0.0,0.551,0.0,0.0,0.142,0.0,0.0,0.0,0.0,0.252,0.0,0.055
94,Ti0.093-Ta0.907,68.257,1.50372,168.57135816,5.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.907,0.0,0.0,0.093,0.0,0.0,0.0
95,Ti0.356-V0.048-Ta0.331-Cr0.265,39.459,1.56288,93.15855877999999,8.13557004763649,4,0,0,0.0,0.0,0.0,0.265,0.0,0.331,0.0,0.048,0.356,0.0,0.0,0.0
96,V0.176-Cr0.824,23.823999999999998,1.65472,51.81049039999999,1.5,2,0,0,0.0,0.0,0.0,0.824,0.0,0.0,0.0,0.176,0.0,0.0,0.0,0.0
97,W0.316-Cu0.505-Ti0.179,41.967,1.98092,98.75236299999999,1.699673171197595,3,1,1,0.316,0.505,0.0,0.0,0.0,0.0,0.0,0.0,0.179,0.0,0.0,0.0
98,Cr0.794-Mo0.206,27.708,1.7630000000000001,61.0485434,5.5,2,0,0,0.0,0.0,0.0,0.794,0.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Nb0.048-Cr0.079-Si0.309-Mn0.564,22.29,1.6692399999999998,48.23067501999999,12.389511693363866,4,0,0,0.0,0.0,0.0,0.079,0.0,0.0,0.048,0.0,0.0,0.0,0.309,0.564
100,Si0.05-Cu0.271-Ti0.372-Nb0.307,29.330000000000002,1.6739800000000002,64.95402365999999,12.754901018824098,4,1,0,0.0,0.271,0.0,0.0,0.0,0.0,0.307,0.0,0.372,0.0,0.05,0.0
